feature,gain,horizon,gain_percentage,rank
do_saturation_lag_24h,95.24736022949219,24h,0.8094033141715253,32
ph_rolling_max_6h,93.48129272460938,24h,0.7943954348134139,33
do_concentration_change_24h,92.09233856201172,24h,0.7825922299820135,34
f154,91.9610595703125,24h,0.7814766331748534,35
f127,88.68220520019531,24h,0.7536132300583345,36
sp_conductance_rolling_mean_12h,84.14530181884766,24h,0.7150590420567887,37
f125,83.90143585205078,24h,0.7129866914817865,38
f139,81.47701263427734,24h,0.6923841657772201,39
do_concentration_rolling_mean_24h,78.26744842529297,24h,0.6651095840823682,40
ph_rolling_max_24h,77.72806549072266,24h,0.6605259574726977,41
ph_rolling_std_24h,77.40129089355469,24h,0.6577490569759539,42
water_temperature_rolling_std_24h,76.92567443847656,24h,0.6537073120489847,43
turbidity_lag_3h,76.32808685302734,24h,0.6486290676650466,44
turbidity_rolling_mean_6h,75.8634262084961,24h,0.6446804242092858,45
turbidity_rolling_max_24h,74.5737075805664,24h,0.6337205138319291,46
do_saturation,72.29936218261719,24h,0.614393335648351,47
sp_conductance_lag_24h,71.6673583984375,24h,0.6090226255703871,48
do_concentration_rolling_max_24h,70.48822021484375,24h,0.5990024176468561,49
turbidity_rolling_std_24h,68.1312026977539,24h,0.5789726993922378,50
turbidity_rolling_max_6h,66.49119567871094,24h,0.5650360704580648,51
turbidity_change_12h,64.50396728515625,24h,0.5481487861923022,52
do_saturation_rolling_mean_24h,64.25788116455078,24h,0.5460575689542626,53
sp_conductance_lag_12h,64.23884582519531,24h,0.545895808389733,54
sp_conductance_rolling_mean_24h,63.51736068725586,24h,0.5397646939906918,55
water_temperature_change_24h,63.10361862182617,24h,0.5362487519408116,56
f200,62.8315544128418,24h,0.533936775295067,57
water_temperature_change_6h,62.76515579223633,24h,0.5333725259190738,58
sp_conductance_change_12h,61.85743713378906,24h,0.5256588161772782,59
sp_conductance_rolling_std_6h,61.36239242553711,24h,0.521451971740259,60
turbidity_rolling_max_12h,61.07552719116211,24h,0.5190142173409321,61
turbidity_lag_24h,60.749000549316406,24h,0.5162394239457303,62
water_temperature_change_3h,59.958221435546875,24h,0.5095194557080751,63
do_concentration_rolling_std_24h,59.930755615234375,24h,0.5092860536911183,64
f135,59.76011657714844,24h,0.5078359788268805,65
sp_conductance,58.7135009765625,24h,0.4989419356351661,66
do_saturation_change_12h,58.09169387817383,24h,0.4936578760559975,67
f140,56.93603515625,24h,0.4838371944400177,68
f175,56.49412155151367,24h,0.48008185323802277,69
water_temperature_rolling_max_12h,56.29706573486328,24h,0.47840729101719787,70
do_concentration_change_3h,56.07087326049805,24h,0.47648512815671806,71
water_temperature_rolling_max_6h,55.31861877441406,24h,0.47009253866479167,72
sp_conductance_rolling_max_24h,54.01853942871094,24h,0.45904458385992736,73
turbidity_change_3h,53.992431640625,24h,0.4588227222760312,74
ph_rolling_max_12h,53.874786376953125,24h,0.45782298363673285,75
water_temperature_rolling_mean_24h,53.76627731323242,24h,0.4569008835850193,76
sp_conductance_rolling_max_12h,53.61372756958008,24h,0.455604529882505,77
sp_conductance_rolling_std_24h,52.26259994506836,24h,0.444122771495569,78
f201,50.790164947509766,24h,0.43161015420040694,79
ph_rolling_mean_12h,50.26350784301758,24h,0.42713467052525983,80
do_saturation_rolling_max_12h,49.62144088745117,24h,0.4216784445416387,81
water_temperature_rolling_std_6h,49.206172943115234,24h,0.41814953571303864,82
water_temperature_rolling_mean_6h,48.37735366821289,24h,0.4111063056818983,83
do_saturation_rolling_mean_12h,47.6342887878418,24h,0.4047918086148122,84
sp_conductance_lag_3h,47.54751205444336,24h,0.4040543879090158,85
water_temperature_rolling_std_12h,47.37565994262695,24h,0.40259400445569565,86
sp_conductance_lag_6h,46.47956085205078,24h,0.39497903673385154,87
do_concentration_change_12h,46.363460540771484,24h,0.3939924269580069,88
turbidity_rolling_mean_12h,45.75010681152344,24h,0.3887802033329461,89
do_saturation_change_3h,45.4602165222168,24h,0.3863167422948072,90
turbidity_lag_12h,43.88272476196289,24h,0.3729113622847854,91
turbidity_rolling_std_12h,43.05997848510742,24h,0.36591974003294997,92
ph_lag_24h,42.056800842285156,24h,0.3573948286144422,93
sp_conductance_rolling_mean_6h,41.67176055908203,24h,0.35412279167228183,94
do_saturation_lag_3h,40.903804779052734,24h,0.3475967740273285,95
day_of_week,39.97215270996094,24h,0.3396796803613125,96
f152,38.364295959472656,24h,0.32601626145476614,97
do_saturation_change_24h,38.3264274597168,24h,0.32569445842388695,98
do_concentration_rolling_max_12h,38.29983139038086,24h,0.3254684474708004,99
do_saturation_rolling_std_24h,37.51624298095703,24h,0.31880958517786245,100
do_saturation_rolling_max_6h,37.18929672241211,24h,0.3160312259185126,101
f176,35.85694885253906,24h,0.3047090561606709,102
sp_conductance_rolling_std_12h,34.302940368652344,24h,0.2915032348751471,103
water_temperature_change_12h,34.25291061401367,24h,0.2910780866178709,104
do_concentration_rolling_std_12h,33.275909423828125,24h,0.2827756202883017,105
hour_cos,32.86125183105469,24h,0.27925189817118956,106
ph_lag_1h,32.6287727355957,24h,0.277276312182384,107
ph_lag_12h,31.853721618652344,24h,0.2706899990163835,108
turbidity_rolling_std_6h,31.645198822021484,24h,0.2689179914534792,109
ph,31.091266632080078,24h,0.2642107266087152,110
water_temperature_lag_24h,31.060150146484375,24h,0.26394630157367116,111
water_temperature_lag_1h,30.673358917236328,24h,0.26065938525292986,112
do_concentration_rolling_mean_12h,30.37040901184082,24h,0.2580849447974226,113
do_concentration_lag_24h,30.035564422607422,24h,0.25523946624972427,114
water_temperature_rolling_mean_12h,29.756263732910156,24h,0.2528659946559009,115
ph_rolling_std_6h,29.637895584106445,24h,0.25186011300518396,116
high_turbidity,28.224056243896484,24h,0.23984543622133664,117
do_concentration_rolling_max_6h,28.08730697631836,24h,0.23868335351246603,118
do_saturation_rolling_std_12h,28.043487548828125,24h,0.23831098004457948,119
ph_lag_6h,27.638580322265625,24h,0.23487011564348703,120
water_temperature_lag_6h,27.544269561767578,24h,0.2340686714677615,121
do_concentration_lag_6h,27.53318977355957,24h,0.2339745164457822,122
do_saturation_lag_6h,27.480445861816406,24h,0.2335263035308581,123
do_concentration_rolling_mean_6h,26.51749038696289,24h,0.2253431963994049,124
water_temperature,26.406780242919922,24h,0.2244023917693881,125
ph_rolling_mean_6h,24.534658432006836,24h,0.20849327266482884,126
do_saturation_change_6h,24.030866622924805,24h,0.2042120961687982,127
f194,23.319557189941406,24h,0.19816745397534496,128
turbidity_lag_6h,22.081790924072266,24h,0.18764902999645144,129
do_concentration_rolling_std_6h,21.48118019104004,24h,0.18254509518217463,130
do_concentration_lag_12h,20.72415542602539,24h,0.17611196829827544,131
water_temperature_lag_12h,20.634695053100586,24h,0.17535174227040556,132
do_concentration_change_6h,20.586002349853516,24h,0.17493795615298258,133
f174,19.88154411315918,24h,0.16895153479598132,134
do_concentration,19.127487182617188,24h,0.1625436282966922,135
month,19.030378341674805,24h,0.1617184062904892,136
ph_change_12h,18.439517974853516,24h,0.15669732919223203,137
do_concentration_lag_3h,18.335094451904297,24h,0.15580994769054088,138
f168,17.925140380859375,24h,0.15232619566883263,139
do_saturation_rolling_std_6h,17.393571853637695,24h,0.147808975174681,140
water_temperature_lag_3h,16.86134910583496,24h,0.14328619517415325,141
ph_change_6h,15.109542846679688,24h,0.12839950657165214,142
f173,14.316036224365234,24h,0.12165636021703537,143
ph_rolling_std_12h,13.608770370483398,24h,0.11564607998718963,144
ph_lag_3h,12.081212997436523,24h,0.102665037810774,145
do_concentration_lag_1h,12.030521392822266,24h,0.10223426521322805,146
hour,11.656669616699219,24h,0.09905730717603083,147
turbidity_ratio_1h,11.391417503356934,24h,0.09680321909303356,148
turbidity_change_1h,9.253689765930176,24h,0.0786370052336614,149
f164,7.809350967407227,24h,0.06636314685591488,150
hour_sin,6.236135482788086,24h,0.05299410624325533,151
ph_change_3h,5.576303958892822,24h,0.04738691859050707,152
f195,3.6453819274902344,24h,0.030978120615861075,153
f129,0.052520751953125,24h,0.00044631652353633553,154
