horizon,segment_id,intervention_start,intervention_end,duration_hours,warning_hours,maximum_risk_probability,mean_risk_probability,matched_event_id,matched_event_start,lead_time_hours,useful_intervention
12h,17,2023-09-07 15:00:00+00:00,2023-09-07 15:00:00+00:00,1.0,1,0.18050377070903778,0.18050377070903778,,,,0
12h,17,2023-09-08 00:00:00+00:00,2023-09-08 00:00:00+00:00,1.0,1,0.623001217842102,0.623001217842102,,,,0
12h,17,2023-09-10 09:00:00+00:00,2023-09-10 09:00:00+00:00,1.0,1,0.5093747973442078,0.5093747973442078,,,,0
12h,17,2023-09-10 13:00:00+00:00,2023-09-10 13:00:00+00:00,1.0,1,0.29831254482269287,0.29831254482269287,,,,0
12h,17,2023-09-10 17:00:00+00:00,2023-09-10 17:00:00+00:00,1.0,1,0.16098397970199585,0.16098397970199585,,,,0
12h,17,2023-09-14 21:00:00+00:00,2023-09-15 01:00:00+00:00,5.0,5,0.6118021607398987,0.3730010390281677,,,,0
12h,17,2023-09-15 03:00:00+00:00,2023-09-15 03:00:00+00:00,1.0,1,0.5007990002632141,0.5007990002632141,,,,0
12h,17,2023-09-18 03:00:00+00:00,2023-09-18 03:00:00+00:00,1.0,1,0.7524603009223938,0.7524603009223938,,,,0
12h,17,2023-09-21 06:00:00+00:00,2023-09-21 06:00:00+00:00,1.0,1,0.779789388179779,0.779789388179779,,,,0
12h,17,2023-09-21 08:00:00+00:00,2023-09-22 05:00:00+00:00,22.0,22,0.9667441248893738,0.731140673160553,,,,0
12h,17,2023-09-22 07:00:00+00:00,2023-09-22 11:00:00+00:00,5.0,5,0.9354860186576843,0.5794183611869812,,,,0
12h,17,2023-09-28 07:00:00+00:00,2023-09-28 07:00:00+00:00,1.0,1,0.17170986533164978,0.17170986533164978,,,,0
12h,17,2023-10-02 09:00:00+00:00,2023-10-02 12:00:00+00:00,4.0,4,0.5044300556182861,0.3289419114589691,,,,0
12h,17,2023-10-02 17:00:00+00:00,2023-10-02 17:00:00+00:00,1.0,1,0.2276579737663269,0.2276579737663269,,,,0
12h,17,2023-10-03 07:00:00+00:00,2023-10-03 07:00:00+00:00,1.0,1,0.2626546323299408,0.2626546323299408,,,,0
12h,17,2023-10-03 14:00:00+00:00,2023-10-03 14:00:00+00:00,1.0,1,0.1752692610025406,0.1752692610025406,,,,0
12h,17,2023-10-03 19:00:00+00:00,2023-10-03 19:00:00+00:00,1.0,1,0.315891295671463,0.315891295671463,,,,0
12h,17,2023-10-03 22:00:00+00:00,2023-10-03 22:00:00+00:00,1.0,1,0.16257944703102112,0.16257944703102112,,,,0
12h,17,2023-10-06 06:00:00+00:00,2023-10-07 06:00:00+00:00,25.0,25,0.977799117565155,0.8128665685653687,,,,0
12h,17,2023-10-08 02:00:00+00:00,2023-10-08 23:00:00+00:00,22.0,22,0.9799237847328186,0.6005240082740784,,,,0
12h,17,2023-10-10 08:00:00+00:00,2023-10-10 10:00:00+00:00,3.0,3,0.26785799860954285,0.21283668279647827,,,,0
12h,17,2023-10-13 07:00:00+00:00,2023-10-13 07:00:00+00:00,1.0,1,0.23220203816890717,0.23220203816890717,,,,0
12h,17,2023-10-13 09:00:00+00:00,2023-10-14 06:00:00+00:00,22.0,22,0.877718448638916,0.5400958061218262,,,,0
12h,17,2023-10-19 12:00:00+00:00,2023-10-20 00:00:00+00:00,13.0,13,0.6894038319587708,0.5165567994117737,,,,0
12h,18,2024-07-14 19:00:00+00:00,2024-07-14 21:00:00+00:00,3.0,3,0.4029153883457184,0.30213597416877747,,,,0
12h,18,2024-07-15 00:00:00+00:00,2024-07-15 00:00:00+00:00,1.0,1,0.15063518285751343,0.15063518285751343,,,,0
12h,18,2024-07-16 05:00:00+00:00,2024-07-16 05:00:00+00:00,1.0,1,0.18899132311344147,0.18899132311344147,,,,0
12h,18,2024-08-16 02:00:00+00:00,2024-08-16 02:00:00+00:00,1.0,1,0.163455992937088,0.163455992937088,,,,0
12h,18,2024-08-28 15:00:00+00:00,2024-08-28 15:00:00+00:00,1.0,1,0.17911215126514435,0.17911215126514435,,,,0
12h,18,2024-08-28 17:00:00+00:00,2024-08-28 19:00:00+00:00,3.0,3,0.29973676800727844,0.24855230748653412,,,,0
12h,18,2024-08-30 07:00:00+00:00,2024-08-30 07:00:00+00:00,1.0,1,0.1936350017786026,0.1936350017786026,,,,0
12h,18,2024-08-31 23:00:00+00:00,2024-08-31 23:00:00+00:00,1.0,1,0.15324127674102783,0.15324127674102783,,,,0
12h,18,2024-09-05 14:00:00+00:00,2024-09-06 03:00:00+00:00,14.0,14,0.9121400117874146,0.6070978045463562,,,,0
12h,18,2024-09-13 07:00:00+00:00,2024-09-13 09:00:00+00:00,3.0,3,0.27907636761665344,0.24892760813236237,,,,0
12h,18,2024-09-13 13:00:00+00:00,2024-09-14 05:00:00+00:00,17.0,17,0.9965800642967224,0.7394687533378601,,,,0
12h,18,2024-09-14 07:00:00+00:00,2024-09-14 07:00:00+00:00,1.0,1,0.17195533215999603,0.17195533215999603,,,,0
12h,18,2024-09-23 21:00:00+00:00,2024-09-23 22:00:00+00:00,2.0,2,0.2820182740688324,0.2617843747138977,,,,0
12h,18,2024-09-24 00:00:00+00:00,2024-09-24 13:00:00+00:00,14.0,14,0.8386327028274536,0.5444020628929138,,,,0
12h,18,2024-09-24 15:00:00+00:00,2024-09-24 15:00:00+00:00,1.0,1,0.23282374441623688,0.23282374441623688,,,,0
12h,18,2024-10-13 03:00:00+00:00,2024-10-13 04:00:00+00:00,2.0,2,0.23489263653755188,0.23318707942962646,,,,0
24h,16,2023-05-08 06:00:00+00:00,2023-05-08 07:00:00+00:00,2.0,2,0.18652236461639404,0.17960920929908752,,,,0
24h,16,2023-05-09 10:00:00+00:00,2023-05-09 10:00:00+00:00,1.0,1,0.1597110629081726,0.1597110629081726,,,,0
24h,16,2023-05-09 22:00:00+00:00,2023-05-09 22:00:00+00:00,1.0,1,0.17833776772022247,0.17833776772022247,,,,0
24h,16,2023-05-25 23:00:00+00:00,2023-05-26 01:00:00+00:00,3.0,3,0.3175498843193054,0.25856804847717285,,,,0
24h,16,2023-05-26 11:00:00+00:00,2023-05-26 23:00:00+00:00,13.0,13,0.6041393876075745,0.35596415400505066,,,,0
24h,16,2023-05-29 05:00:00+00:00,2023-05-29 05:00:00+00:00,1.0,1,0.26040396094322205,0.26040396094322205,,,,0
24h,16,2023-06-09 01:00:00+00:00,2023-06-09 01:00:00+00:00,1.0,1,0.22630193829536438,0.22630193829536438,,,,0
24h,16,2023-06-09 03:00:00+00:00,2023-06-09 03:00:00+00:00,1.0,1,0.22614836692810059,0.22614836692810059,,,,0
24h,16,2023-06-09 06:00:00+00:00,2023-06-09 12:00:00+00:00,7.0,7,0.3545742332935333,0.22826538980007172,,,,0
24h,16,2023-06-09 14:00:00+00:00,2023-06-09 22:00:00+00:00,9.0,9,0.4220122694969177,0.2516675889492035,,,,0
24h,16,2023-06-12 18:00:00+00:00,2023-06-12 20:00:00+00:00,3.0,3,0.3174247443675995,0.2632032632827759,,,,0
24h,16,2023-06-19 05:00:00+00:00,2023-06-19 05:00:00+00:00,1.0,1,0.24320761859416962,0.24320761859416962,,,,0
24h,16,2023-06-19 10:00:00+00:00,2023-06-19 10:00:00+00:00,1.0,1,0.20335526764392853,0.20335526764392853,,,,0
24h,16,2023-06-19 13:00:00+00:00,2023-06-19 14:00:00+00:00,2.0,2,0.19997139275074005,0.17500796914100647,,,,0
24h,16,2023-06-19 19:00:00+00:00,2023-06-19 19:00:00+00:00,1.0,1,0.16056719422340393,0.16056719422340393,,,,0
24h,16,2023-06-22 10:00:00+00:00,2023-06-22 17:00:00+00:00,8.0,8,0.624972403049469,0.4463483691215515,,,,0
24h,16,2023-06-23 14:00:00+00:00,2023-06-23 14:00:00+00:00,1.0,1,0.26593801379203796,0.26593801379203796,,,,0
24h,16,2023-06-23 18:00:00+00:00,2023-06-23 18:00:00+00:00,1.0,1,0.16503886878490448,0.16503886878490448,,,,0
24h,16,2023-06-23 21:00:00+00:00,2023-06-23 21:00:00+00:00,1.0,1,0.15066257119178772,0.15066257119178772,,,,0
24h,16,2023-06-23 23:00:00+00:00,2023-06-23 23:00:00+00:00,1.0,1,0.29568031430244446,0.29568031430244446,,,,0
24h,16,2023-06-24 03:00:00+00:00,2023-06-24 03:00:00+00:00,1.0,1,0.46659961342811584,0.46659961342811584,,,,0
24h,16,2023-06-24 07:00:00+00:00,2023-06-24 19:00:00+00:00,13.0,13,0.9347684383392334,0.6583634614944458,,,,0
24h,16,2023-06-24 21:00:00+00:00,2023-06-24 23:00:00+00:00,3.0,3,0.4749409258365631,0.37492743134498596,,,,0
24h,16,2023-06-26 03:00:00+00:00,2023-06-26 04:00:00+00:00,2.0,2,0.6185864210128784,0.46377044916152954,,,,0
24h,16,2023-06-26 13:00:00+00:00,2023-06-26 13:00:00+00:00,1.0,1,0.30822300910949707,0.30822300910949707,,,,0
24h,16,2023-06-27 03:00:00+00:00,2023-06-27 03:00:00+00:00,1.0,1,0.16559895873069763,0.16559895873069763,,,,0
24h,16,2023-06-27 07:00:00+00:00,2023-06-27 10:00:00+00:00,4.0,4,0.8437297940254211,0.5389894247055054,,,,0
24h,16,2023-06-27 12:00:00+00:00,2023-06-27 12:00:00+00:00,1.0,1,0.7806050181388855,0.7806050181388855,,,,0
24h,16,2023-06-27 14:00:00+00:00,2023-06-27 14:00:00+00:00,1.0,1,0.19349250197410583,0.19349250197410583,,,,0
24h,16,2023-06-27 16:00:00+00:00,2023-06-27 16:00:00+00:00,1.0,1,0.2376868575811386,0.2376868575811386,,,,0
24h,16,2023-06-27 19:00:00+00:00,2023-06-27 21:00:00+00:00,3.0,3,0.35702547430992126,0.31301286816596985,,,,0
24h,16,2023-06-29 08:00:00+00:00,2023-06-29 12:00:00+00:00,5.0,5,0.25368624925613403,0.19621703028678894,,,,0
24h,16,2023-06-29 14:00:00+00:00,2023-06-29 16:00:00+00:00,3.0,3,0.23222333192825317,0.20474106073379517,,,,0
24h,16,2023-06-30 01:00:00+00:00,2023-06-30 01:00:00+00:00,1.0,1,0.16025632619857788,0.16025632619857788,,,,0
24h,16,2023-07-01 03:00:00+00:00,2023-07-01 05:00:00+00:00,3.0,3,0.20949335396289825,0.18865591287612915,,,,0
24h,16,2023-07-01 16:00:00+00:00,2023-07-01 18:00:00+00:00,3.0,3,0.36378616094589233,0.2842917740345001,32.0,2023-07-03 07:00:00+00:00,39.0,1
24h,16,2023-07-02 08:00:00+00:00,2023-07-02 12:00:00+00:00,5.0,5,0.5344159603118896,0.3838065266609192,32.0,2023-07-03 07:00:00+00:00,23.0,1
24h,16,2023-07-02 14:00:00+00:00,2023-07-02 15:00:00+00:00,2.0,2,0.20130616426467896,0.1868675798177719,32.0,2023-07-03 07:00:00+00:00,17.0,1
24h,16,2023-07-02 17:00:00+00:00,2023-07-02 17:00:00+00:00,1.0,1,0.3342646360397339,0.3342646360397339,32.0,2023-07-03 07:00:00+00:00,14.0,1
24h,16,2023-07-03 08:00:00+00:00,2023-07-03 13:00:00+00:00,6.0,6,0.7355369925498962,0.6235622763633728,33.0,2023-07-04 07:00:00+00:00,23.0,1
24h,16,2023-07-03 15:00:00+00:00,2023-07-03 18:00:00+00:00,4.0,4,0.6898965239524841,0.6038150191307068,33.0,2023-07-04 07:00:00+00:00,16.0,1
24h,16,2023-07-03 20:00:00+00:00,2023-07-03 21:00:00+00:00,2.0,2,0.8557308316230774,0.6447328329086304,33.0,2023-07-04 07:00:00+00:00,11.0,1
24h,16,2023-07-04 07:00:00+00:00,2023-07-05 08:00:00+00:00,26.0,26,0.954535961151123,0.7710692286491394,34.0,2023-07-05 12:00:00+00:00,29.0,1
24h,16,2023-07-05 11:00:00+00:00,2023-07-05 11:00:00+00:00,1.0,1,0.164169043302536,0.164169043302536,34.0,2023-07-05 12:00:00+00:00,1.0,1
24h,16,2023-07-05 14:00:00+00:00,2023-07-05 16:00:00+00:00,3.0,3,0.7603871822357178,0.5488575100898743,35.0,2023-07-06 19:00:00+00:00,29.0,1
24h,16,2023-07-06 20:00:00+00:00,2023-07-07 13:00:00+00:00,18.0,18,0.7295972108840942,0.40404021739959717,,,,0
24h,16,2023-07-07 15:00:00+00:00,2023-07-07 15:00:00+00:00,1.0,1,0.26673954725265503,0.26673954725265503,,,,0
24h,16,2023-07-07 17:00:00+00:00,2023-07-07 17:00:00+00:00,1.0,1,0.601326048374176,0.601326048374176,,,,0
24h,16,2023-07-07 19:00:00+00:00,2023-07-08 18:00:00+00:00,24.0,24,0.7546136379241943,0.5333354473114014,,,,0
24h,16,2023-07-09 10:00:00+00:00,2023-07-09 14:00:00+00:00,5.0,5,0.2676868438720703,0.2335241287946701,,,,0
24h,16,2023-07-11 01:00:00+00:00,2023-07-11 09:00:00+00:00,9.0,9,0.4125642478466034,0.2690798044204712,36.0,2023-07-11 19:00:00+00:00,18.0,1
24h,16,2023-07-11 11:00:00+00:00,2023-07-12 05:00:00+00:00,19.0,19,0.8687243461608887,0.5453095436096191,36.0,2023-07-11 19:00:00+00:00,8.0,1
24h,16,2023-07-12 07:00:00+00:00,2023-07-12 17:00:00+00:00,11.0,11,0.5058449506759644,0.3228625953197479,37.0,2023-07-12 11:00:00+00:00,4.0,1
24h,16,2023-07-12 19:00:00+00:00,2023-07-13 22:00:00+00:00,28.0,28,0.8037216067314148,0.4067813754081726,38.0,2023-07-13 08:00:00+00:00,13.0,1
24h,16,2023-07-14 00:00:00+00:00,2023-07-14 12:00:00+00:00,13.0,13,0.6138208508491516,0.34496456384658813,39.0,2023-07-14 19:00:00+00:00,19.0,1
24h,16,2023-07-14 19:00:00+00:00,2023-07-15 16:00:00+00:00,22.0,22,0.7951827645301819,0.4298918843269348,40.0,2023-07-16 03:00:00+00:00,32.0,1
24h,16,2023-07-15 21:00:00+00:00,2023-07-15 21:00:00+00:00,1.0,1,0.18569415807724,0.18569415807724,40.0,2023-07-16 03:00:00+00:00,6.0,1
24h,16,2023-07-16 03:00:00+00:00,2023-07-16 14:00:00+00:00,12.0,12,0.6142734289169312,0.37727609276771545,41.0,2023-07-16 15:00:00+00:00,12.0,1
24h,16,2023-07-16 16:00:00+00:00,2023-07-16 16:00:00+00:00,1.0,1,0.23895880579948425,0.23895880579948425,42.0,2023-07-18 03:00:00+00:00,35.0,1
24h,16,2023-07-16 18:00:00+00:00,2023-07-16 18:00:00+00:00,1.0,1,0.15664876997470856,0.15664876997470856,42.0,2023-07-18 03:00:00+00:00,33.0,1
24h,16,2023-07-16 20:00:00+00:00,2023-07-16 20:00:00+00:00,1.0,1,0.2250019758939743,0.2250019758939743,42.0,2023-07-18 03:00:00+00:00,31.0,1
24h,16,2023-07-17 02:00:00+00:00,2023-07-17 02:00:00+00:00,1.0,1,0.22100962698459625,0.22100962698459625,42.0,2023-07-18 03:00:00+00:00,25.0,1
24h,16,2023-07-17 06:00:00+00:00,2023-07-17 06:00:00+00:00,1.0,1,0.2406996488571167,0.2406996488571167,42.0,2023-07-18 03:00:00+00:00,21.0,1
24h,16,2023-07-17 09:00:00+00:00,2023-07-17 12:00:00+00:00,4.0,4,0.48337680101394653,0.3822321891784668,42.0,2023-07-18 03:00:00+00:00,18.0,1
24h,16,2023-07-17 22:00:00+00:00,2023-07-17 22:00:00+00:00,1.0,1,0.2110799103975296,0.2110799103975296,42.0,2023-07-18 03:00:00+00:00,5.0,1
24h,16,2023-07-18 00:00:00+00:00,2023-07-18 05:00:00+00:00,6.0,6,0.3309461176395416,0.21220706403255463,42.0,2023-07-18 03:00:00+00:00,3.0,1
24h,16,2023-07-18 10:00:00+00:00,2023-07-18 12:00:00+00:00,3.0,3,0.20550553500652313,0.18042391538619995,,,,0
24h,16,2023-07-18 15:00:00+00:00,2023-07-18 15:00:00+00:00,1.0,1,0.19536574184894562,0.19536574184894562,,,,0
24h,16,2023-07-18 17:00:00+00:00,2023-07-18 18:00:00+00:00,2.0,2,0.3281782269477844,0.28577160835266113,,,,0
24h,16,2023-07-18 21:00:00+00:00,2023-07-19 06:00:00+00:00,10.0,10,0.4927166998386383,0.32913005352020264,,,,0
24h,16,2023-07-19 11:00:00+00:00,2023-07-19 12:00:00+00:00,2.0,2,0.2176840454339981,0.19945603609085083,,,,0
24h,16,2023-07-19 16:00:00+00:00,2023-07-19 18:00:00+00:00,3.0,3,0.2339138686656952,0.20890049636363983,,,,0
24h,17,2023-07-23 07:00:00+00:00,2023-07-23 09:00:00+00:00,3.0,3,0.2149886190891266,0.1878550797700882,,,,0
24h,17,2023-07-28 02:00:00+00:00,2023-07-28 03:00:00+00:00,2.0,2,0.20479312539100647,0.17883265018463135,,,,0
24h,17,2023-08-02 06:00:00+00:00,2023-08-02 08:00:00+00:00,3.0,3,0.3703935742378235,0.2698761224746704,,,,0
24h,17,2023-08-04 19:00:00+00:00,2023-08-04 19:00:00+00:00,1.0,1,0.704246461391449,0.704246461391449,,,,0
24h,17,2023-08-04 21:00:00+00:00,2023-08-04 21:00:00+00:00,1.0,1,0.20786306262016296,0.20786306262016296,,,,0
24h,17,2023-08-09 20:00:00+00:00,2023-08-09 20:00:00+00:00,1.0,1,0.15378440916538239,0.15378440916538239,,,,0
24h,17,2023-08-12 19:00:00+00:00,2023-08-12 20:00:00+00:00,2.0,2,0.22699733078479767,0.2244485318660736,43.0,2023-08-13 06:00:00+00:00,11.0,1
24h,17,2023-08-12 22:00:00+00:00,2023-08-14 00:00:00+00:00,27.0,27,0.9852050542831421,0.6385219097137451,43.0,2023-08-13 06:00:00+00:00,8.0,1
24h,17,2023-08-14 02:00:00+00:00,2023-08-14 02:00:00+00:00,1.0,1,0.2103118896484375,0.2103118896484375,,,,0
24h,17,2023-08-14 06:00:00+00:00,2023-08-14 07:00:00+00:00,2.0,2,0.18427202105522156,0.17201068997383118,,,,0
24h,17,2023-08-16 06:00:00+00:00,2023-08-16 06:00:00+00:00,1.0,1,0.166844442486763,0.166844442486763,,,,0
24h,17,2023-08-16 08:00:00+00:00,2023-08-16 18:00:00+00:00,11.0,11,0.2889578342437744,0.21094799041748047,,,,0
24h,17,2023-08-17 01:00:00+00:00,2023-08-17 01:00:00+00:00,1.0,1,0.15555883944034576,0.15555883944034576,,,,0
