horizon,fold,threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,predicted_positive,actual_positive
24h,2,0.9,0.7631578947368421,0.10861423220973783,0.1901639344262295,5800,9,238,29,38,267
24h,3,0.1,0.29583333333333334,0.30603448275862066,0.3008474576271186,5675,169,161,71,240,232
24h,3,0.15,0.3386243386243386,0.27586206896551724,0.30403800475059384,5719,125,168,64,189,232
24h,3,0.2,0.33727810650887574,0.24568965517241378,0.28428927680798005,5732,112,175,57,169,232
24h,3,0.25,0.3793103448275862,0.23706896551724138,0.2917771883289125,5754,90,177,55,145,232
24h,3,0.3,0.39705882352941174,0.23275862068965517,0.29347826086956524,5762,82,178,54,136,232
24h,3,0.35,0.4298245614035088,0.21120689655172414,0.2832369942196532,5779,65,183,49,114,232
24h,3,0.4,0.46078431372549017,0.2025862068965517,0.281437125748503,5789,55,185,47,102,232
24h,3,0.45,0.4891304347826087,0.1939655172413793,0.2777777777777778,5797,47,187,45,92,232
24h,3,0.5,0.5432098765432098,0.1896551724137931,0.28115015974440893,5807,37,188,44,81,232
24h,3,0.55,0.5714285714285714,0.1896551724137931,0.284789644012945,5811,33,188,44,77,232
24h,3,0.6,0.6197183098591549,0.1896551724137931,0.29042904290429045,5817,27,188,44,71,232
24h,3,0.65,0.6363636363636364,0.1810344827586207,0.28187919463087246,5820,24,190,42,66,232
24h,3,0.7,0.6833333333333333,0.17672413793103448,0.2808219178082192,5825,19,191,41,60,232
24h,3,0.75,0.7142857142857143,0.1724137931034483,0.2777777777777778,5828,16,192,40,56,232
24h,3,0.8,0.72,0.15517241379310345,0.2553191489361702,5830,14,196,36,50,232
24h,3,0.85,0.7608695652173914,0.15086206896551724,0.2517985611510791,5833,11,197,35,46,232
24h,3,0.9,0.8,0.13793103448275862,0.23529411764705882,5836,8,200,32,40,232
24h,4,0.1,0.28133704735376047,0.4089068825910931,0.3333333333333333,5571,258,146,101,359,247
24h,4,0.15,0.3298245614035088,0.3805668016194332,0.3533834586466165,5638,191,153,94,285,247
24h,4,0.2,0.3832599118942731,0.3522267206477733,0.3670886075949367,5689,140,160,87,227,247
24h,4,0.25,0.4010416666666667,0.3117408906882591,0.35079726651480636,5714,115,170,77,192,247
24h,4,0.3,0.4161849710982659,0.291497975708502,0.34285714285714286,5728,101,175,72,173,247
24h,4,0.35,0.43125,0.2793522267206478,0.33906633906633904,5738,91,178,69,160,247
24h,4,0.4,0.4246575342465753,0.25101214574898784,0.3155216284987277,5745,84,185,62,146,247
24h,4,0.45,0.45185185185185184,0.24696356275303644,0.3193717277486911,5755,74,186,61,135,247
24h,4,0.5,0.4365079365079365,0.22267206477732793,0.2949061662198391,5758,71,192,55,126,247
24h,4,0.55,0.43859649122807015,0.20242914979757085,0.2770083102493075,5765,64,197,50,114,247
24h,4,0.6,0.4444444444444444,0.17813765182186234,0.2543352601156069,5774,55,203,44,99,247
24h,4,0.65,0.46511627906976744,0.16194331983805668,0.24024024024024024,5783,46,207,40,86,247
24h,4,0.7,0.4788732394366197,0.13765182186234817,0.2138364779874214,5792,37,213,34,71,247
24h,4,0.75,0.5892857142857143,0.13360323886639677,0.21782178217821782,5806,23,214,33,56,247
24h,4,0.8,0.6170212765957447,0.11740890688259109,0.19727891156462585,5811,18,218,29,47,247
24h,4,0.85,0.6756756756756757,0.10121457489878542,0.176056338028169,5817,12,222,25,37,247
24h,4,0.9,0.7586206896551724,0.08906882591093117,0.15942028985507245,5822,7,225,22,29,247
