timestamp_utc,turbidity,year,period
2015-09-11 15:00:00+00:00,1081.6,2015,train
2015-09-11 16:00:00+00:00,1195.6,2015,train
2015-09-11 17:00:00+00:00,946.3,2015,train
2015-09-11 18:00:00+00:00,1019.7,2015,train
2015-09-11 19:00:00+00:00,804.3,2015,train
2015-09-11 20:00:00+00:00,638.5,2015,train
2015-09-11 21:00:00+00:00,607.3,2015,train
2015-09-11 22:00:00+00:00,1004.6,2015,train
2015-09-11 23:00:00+00:00,784.3,2015,train
2015-09-12 00:00:00+00:00,638.9,2015,train
2015-09-12 01:00:00+00:00,434.1,2015,train
2015-09-12 02:00:00+00:00,525.5,2015,train
2015-09-12 03:00:00+00:00,406.7,2015,train
2015-09-12 04:00:00+00:00,379.7,2015,train
2015-09-12 06:00:00+00:00,512.2,2015,train
2015-09-12 08:00:00+00:00,322.0,2015,train
2015-09-12 09:00:00+00:00,341.6,2015,train
2015-09-12 11:00:00+00:00,379.5,2015,train
2015-09-12 18:00:00+00:00,515.6,2015,train
2015-09-13 01:00:00+00:00,329.2,2015,train
2015-09-30 02:00:00+00:00,379.5,2015,train
2015-09-30 04:00:00+00:00,527.5,2015,train
2015-09-30 05:00:00+00:00,510.3,2015,train
2015-09-30 06:00:00+00:00,863.0,2015,train
2015-09-30 07:00:00+00:00,997.7,2015,train
2015-09-30 08:00:00+00:00,945.3,2015,train
2015-09-30 09:00:00+00:00,1174.5,2015,train
2015-09-30 10:00:00+00:00,1194.8,2015,train
2015-09-30 11:00:00+00:00,1195.1,2015,train
2015-09-30 12:00:00+00:00,1191.8,2015,train
2015-09-30 13:00:00+00:00,1193.5,2015,train
2015-09-30 14:00:00+00:00,907.4,2015,train
2015-09-30 15:00:00+00:00,1026.4,2015,train
2015-09-30 16:00:00+00:00,1123.6,2015,train
2015-09-30 17:00:00+00:00,1029.4,2015,train
2015-09-30 18:00:00+00:00,876.5,2015,train
2015-09-30 19:00:00+00:00,993.8,2015,train
2015-09-30 20:00:00+00:00,886.6,2015,train
2015-09-30 21:00:00+00:00,701.4,2015,train
2015-09-30 22:00:00+00:00,838.4,2015,train
2015-09-30 23:00:00+00:00,761.4,2015,train
2015-10-01 00:00:00+00:00,628.7,2015,train
2015-10-01 01:00:00+00:00,732.2,2015,train
2015-10-01 02:00:00+00:00,477.9,2015,train
2015-10-01 03:00:00+00:00,535.2,2015,train
2015-10-01 04:00:00+00:00,525.7,2015,train
2015-10-01 05:00:00+00:00,543.7,2015,train
2015-10-01 06:00:00+00:00,704.1,2015,train
2015-10-01 07:00:00+00:00,459.2,2015,train
2015-10-01 08:00:00+00:00,391.1,2015,train
2015-10-01 09:00:00+00:00,373.7,2015,train
2015-10-01 10:00:00+00:00,354.9,2015,train
2015-10-01 11:00:00+00:00,337.4,2015,train
2015-10-01 12:00:00+00:00,378.8,2015,train
2015-10-01 15:00:00+00:00,417.2,2015,train
2015-10-02 01:00:00+00:00,377.2,2015,train
2015-10-02 02:00:00+00:00,348.5,2015,train
2015-10-10 07:00:00+00:00,469.3,2015,train
2015-10-10 13:00:00+00:00,342.9,2015,train
2015-10-10 19:00:00+00:00,383.3,2015,train
2015-10-10 20:00:00+00:00,386.1,2015,train
2015-10-17 20:00:00+00:00,328.6,2015,train
2015-10-17 21:00:00+00:00,404.7,2015,train
2015-10-17 22:00:00+00:00,368.1,2015,train
2015-10-17 23:00:00+00:00,369.0,2015,train
2015-10-18 02:00:00+00:00,372.3,2015,train
2015-10-18 04:00:00+00:00,328.1,2015,train
2015-10-18 05:00:00+00:00,480.3,2015,train
2016-04-13 05:00:00+00:00,1056.5,2016,train
2016-07-24 02:00:00+00:00,489.5,2016,train
2016-07-24 03:00:00+00:00,471.8,2016,train
2016-07-24 04:00:00+00:00,456.6,2016,train
2016-07-24 05:00:00+00:00,507.8,2016,train
2016-07-24 06:00:00+00:00,379.8,2016,train
2016-07-24 09:00:00+00:00,354.3,2016,train
2016-07-28 21:00:00+00:00,341.1,2016,train
2016-08-12 19:00:00+00:00,372.2,2016,train
2016-08-15 13:00:00+00:00,365.3,2016,train
2016-08-26 17:00:00+00:00,360.4,2016,train
2016-09-13 13:00:00+00:00,643.8,2016,train
2016-09-13 14:00:00+00:00,1035.0,2016,train
2016-09-13 15:00:00+00:00,645.6,2016,train
2016-09-13 16:00:00+00:00,519.9,2016,train
2016-09-13 17:00:00+00:00,407.3,2016,train
2016-09-13 18:00:00+00:00,487.2,2016,train
2016-09-13 19:00:00+00:00,680.1,2016,train
2016-09-13 20:00:00+00:00,532.9,2016,train
2016-09-13 21:00:00+00:00,389.1,2016,train
2016-09-13 22:00:00+00:00,372.6,2016,train
2016-09-14 00:00:00+00:00,327.8,2016,train
2016-09-14 02:00:00+00:00,425.9,2016,train
