feature_index,feature,gain,horizon,gain_percentage,rank
f72,water_temperature_rolling_mean_12h,20.946426391601562,12h,0.218955958867205,122
f8,day_of_week,20.681930541992188,12h,0.2161911463266355,123
f13,month_sin,20.294919967651367,12h,0.21214567003333717,124
f96,do_concentration_rolling_mean_6h,20.25933074951172,12h,0.21177365090045897,125
f0,water_temperature,19.140058517456055,12h,0.2000737398883617,126
f31,do_concentration_lag_3h,19.13213348388672,12h,0.1999908983911159,127
f98,do_concentration_rolling_std_6h,16.762258529663086,12h,0.17521826017128758,128
f3,do_concentration,16.55448341369629,12h,0.1730463574851332,129
f59,do_concentration_change_12h,16.299320220947266,12h,0.1703791005272408,130
f197,missingindicator_sp_conductance_rolling_mean_12h,15.646930694580078,12h,0.16355958049885438,131
f123,turbidity_change_1h,15.20138168334961,12h,0.158902193641905,132
f12,hour_cos,14.840136528015137,12h,0.15512604691913487,133
f107,do_saturation_rolling_std_6h,13.542627334594727,12h,0.14156299973041309,134
f180,missingindicator_do_saturation_change_24h,13.405951499938965,12h,0.1401343078919319,135
f42,turbidity_lag_6h,12.381535530090332,12h,0.12942594281028633,136
f7,hour,10.274918556213379,12h,0.10740517750847342,137
f11,hour_sin,9.162591934204102,12h,0.09577786994095386,138
f155,missingindicator_do_saturation_lag_24h,4.820494174957275,12h,0.05038930768232323,139
f220,missingindicator_do_concentration_rolling_std_24h,4.5737714767456055,12h,0.04781028040811,140
f174,missingindicator_do_concentration_change_6h,4.360905647277832,12h,0.04558516377342396,141
